ant,from,to,m,tracklet,assigned,single,source
Larva,55785,55832,7,trj_id37_ti7_1785_tf7_1832,1,1,0
Larva,55833,55880,7,trj_id4_ti7_1833_tf7_1880,1,0,0
Larva,55881,56148,7,trj_id4_ti7_1881_tf7_2148,1,1,1
Larva,56149,56189,7,trj_id4_ti7_2149_tf7_2189,1,0,0
Larva,56190,56232,7,trj_id35_ti7_2190_tf7_2232,1,1,1
Larva,56233,56274,7,trj_id4_ti7_2233_tf7_2274,1,0,0
Larva,56275,56287,7,trj_id4_ti7_2275_tf7_2287,1,1,1
Larva,56288,56348,7,trj_id4_ti7_2288_tf7_2348,1,0,0
Larva,56349,56460,7,trj_id4_ti7_2349_tf7_2460,1,1,1
Larva,56461,56658,7,trj_id4_ti7_2461_tf7_2658,1,0,0
Larva,56659,56660,7,trj_id16_ti7_2659_tf7_2660,1,1,1
Larva,56661,56759,7,trj_id4_ti7_2661_tf7_2759,1,0,0
Larva,56760,56776,7,trj_id4_ti7_2760_tf7_2776,1,1,1
Larva,56777,56924,7,trj_id4_ti7_2777_tf7_2924,1,0,0
Larva,56925,56950,7,trj_id4_ti7_2925_tf7_2950,1,1,0
Larva,56951,56952,7,trj_id4_ti7_2951_tf7_2952,1,0,0
Larva,56953,56953,7,trj_id4_ti7_2953_tf7_2953,1,1,1
Larva,56954,57248,7,trj_id4_ti7_2954_tf7_3248,1,0,0
Larva,57249,57251,7,trj_id4_ti7_3249_tf7_3251,1,1,1
Larva,57252,57529,7,trj_id4_ti7_3252_tf7_3529,1,0,0
Larva,57530,57545,7,trj_id4_ti7_3530_tf7_3545,1,1,1
Larva,57546,57546,7,trj_id4_ti7_3546_tf7_3546,1,0,0
Larva,57547,57547,7,trj_id4_ti7_3547_tf7_3547,1,1,1
Larva,57548,57553,7,trj_id4_ti7_3548_tf7_3553,1,0,0
Larva,57554,57569,7,trj_id4_ti7_3554_tf7_3569,1,1,1
Larva,57570,57573,7,trj_id4_ti7_3570_tf7_3573,1,0,0
Larva,57574,57574,7,trj_id4_ti7_3574_tf7_3574,1,1,0
Larva,57575,57576,7,trj_id4_ti7_3575_tf7_3576,1,0,0
Larva,57577,57582,7,trj_id4_ti7_3577_tf7_3582,1,1,0
Larva,57583,57622,7,trj_id4_ti7_3583_tf7_3622,1,0,0
Larva,57623,57625,7,trj_id24_ti7_3623_tf7_3625,1,1,1
Larva,57626,57724,7,trj_id4_ti7_3626_tf7_3724,1,0,0
Larva,57725,57744,7,trj_id22_ti7_3725_tf7_3744,1,1,0
Larva,57745,57753,7,trj_id4_ti7_3745_tf7_3753,1,0,0
Larva,57754,57772,7,trj_id4_ti7_3754_tf7_3772,1,1,1
Larva,57773,57776,7,trj_id4_ti7_3773_tf7_3776,1,0,0
Larva,57777,57902,7,trj_id4_ti7_3777_tf7_3902,1,1,1
Larva,57903,57904,7,trj_id4_ti7_3903_tf7_3904,1,0,0
Larva,57905,57906,7,trj_id18_ti7_3905_tf7_3906,1,1,0
Larva,57907,57948,7,trj_id4_ti7_3907_tf7_3948,1,0,0
Larva,57949,57987,7,trj_id20_ti7_3949_tf7_3987,1,1,1
Larva,57988,58014,7,trj_id4_ti7_3988_tf7_4014,1,0,0
Larva,58015,58204,7,trj_id30_ti7_4015_tf7_4204,1,0,1
Larva,58205,58254,7,trj_id30_ti7_4205_tf7_4254,1,1,1
Larva,58255,58290,7,trj_id3_ti7_4255_tf7_4290,1,0,0
Larva,58291,58467,7,trj_id3_ti7_4291_tf7_4467,1,1,1
Larva,58468,58493,7,trj_id3_ti7_4468_tf7_4493,1,0,0
Larva,58494,58581,7,trj_id23_ti7_4494_tf7_4581,1,0,0
Larva,58582,58636,7,trj_id10_ti7_4582_tf7_4636,1,0,1
Larva,58637,58686,7,trj_id30_ti7_4637_tf7_4686,1,1,1
Larva,58687,58687,7,trj_id10_ti7_4687_tf7_4687,1,0,0
Larva,58688,58689,7,trj_id20_ti7_4688_tf7_4689,1,1,1
Larva,58690,58690,7,trj_id10_ti7_4690_tf7_4690,1,0,0
Larva,58691,58759,7,trj_id20_ti7_4691_tf7_4759,1,1,1
Larva,58760,58788,7,trj_id10_ti7_4760_tf7_4788,1,0,0
Larva,58789,59079,7,trj_id10_ti7_4789_tf7_5079,1,1,1
Larva,59080,59114,7,trj_id10_ti7_5080_tf7_5114,1,0,0
Larva,59115,59387,7,trj_id10_ti7_5115_tf7_5387,1,1,1
Larva,59388,59669,7,trj_id10_ti7_5388_tf7_5669,1,0,0
Larva,59670,59682,7,trj_id10_ti7_5670_tf7_5682,1,1,1
Larva,59683,60282,7,trj_id10_ti7_5683_tf7_6282,1,0,0
Larva,60283,60384,7,trj_id10_ti7_6283_tf7_6384,1,0,0
Larva,60385,60386,7,trj_id10_ti7_6385_tf7_6386,1,1,1
Larva,60387,60393,7,trj_id10_ti7_6387_tf7_6393,1,0,0
Larva,60394,60413,7,trj_id10_ti7_6394_tf7_6413,1,1,1
Larva,60414,60414,7,trj_id10_ti7_6414_tf7_6414,1,0,0
Larva,60415,60415,7,trj_id10_ti7_6415_tf7_6415,1,1,0
Larva,60416,60603,7,trj_id10_ti7_6416_tf7_6603,1,0,0
Larva,60604,60624,7,trj_id10_ti7_6604_tf7_6624,1,1,1
Larva,60625,61224,7,trj_id10_ti7_6625_tf7_7224,1,0,0
Larva,61225,61806,7,trj_id10_ti7_7225_tf7_7806,1,0,0
Larva,61807,61819,7,trj_id10_ti7_7807_tf7_7819,1,1,1
Larva,61820,61966,7,trj_id10_ti7_7820_tf7_7966,1,0,0
Larva,61967,62013,7,trj_id10_ti7_7967_tf7_8013,1,0,0
Larva,62014,62022,7,trj_id5_ti7_8014_tf7_8022,1,1,1
Larva,62023,62032,7,trj_id5_ti7_8023_tf7_8032,1,0,0
Larva,62033,62064,7,trj_id31_ti7_8033_tf7_8064,1,0,0
Larva,62065,62070,7,trj_id5_ti7_8065_tf7_8070,1,1,1
Larva,62071,62071,7,trj_id5_ti7_8071_tf7_8071,1,0,0
Larva,62072,62072,7,trj_id5_ti7_8072_tf7_8072,1,1,0
Larva,62073,62136,7,trj_id5_ti7_8073_tf7_8136,1,0,0
Larva,62137,62275,7,trj_id5_ti7_8137_tf7_8275,1,1,1
Larva,62276,62349,7,trj_id5_ti7_8276_tf7_8349,1,0,0
Larva,62350,62426,7,trj_id22_ti7_8350_tf7_8426,1,0,1
Larva,62427,62429,7,trj_id16_ti7_8427_tf7_8429,1,1,1
Larva,62430,62430,7,trj_id16_ti7_8430_tf7_8430,1,0,0
Larva,62431,62431,7,trj_id16_ti7_8431_tf7_8431,1,1,1
Larva,62432,62433,7,trj_id16_ti7_8432_tf7_8433,1,0,0
Larva,62434,62435,7,trj_id22_ti7_8434_tf7_8435,1,1,1
Larva,62436,62537,7,trj_id16_ti7_8436_tf7_8537,1,0,0
Larva,62538,62647,7,trj_id5_ti7_8538_tf7_8647,1,1,1
Larva,62648,62648,7,trj_id5_ti7_8648_tf7_8648,1,0,0
Larva,62649,62652,7,trj_id5_ti7_8649_tf7_8652,1,1,1
Larva,62653,62971,7,trj_id5_ti7_8653_tf7_8971,1,0,0
Larva,62972,63000,7,trj_id32_ti7_8972_tf7_9000,1,1,1
