ant,from,to,m,tracklet,assigned,single,source
Ant,70459,70517,8,trj_id24_ti8_7459_tf8_7517,1,0,1
Ant,70518,70625,8,trj_id24_ti8_7518_tf8_7625,1,1,1
Ant,70626,70676,8,trj_id24_ti8_7626_tf8_7676,1,0,1
Ant,70677,70742,8,trj_id30_ti8_7677_tf8_7742,1,1,1
Ant,70743,70743,8,trj_id24_ti8_7743_tf8_7743,1,0,1
Ant,70744,70744,8,trj_id39_ti8_7744_tf8_7744,1,1,1
Ant,70745,70747,8,trj_id30_ti8_7745_tf8_7747,1,0,1
Ant,70748,70761,8,trj_id30_ti8_7748_tf8_7761,1,1,1
Ant,70762,70762,8,trj_id20_ti8_7762_tf8_7762,1,0,1
Ant,70763,70764,8,trj_id30_ti8_7763_tf8_7764,1,1,1
Ant,70765,70888,8,trj_id20_ti8_7765_tf8_7888,1,0,1
Ant,70889,70934,8,trj_id20_ti8_7889_tf8_7934,1,1,1
Ant,70935,70935,8,trj_id10_ti8_7935_tf8_7935,1,0,1
Ant,70936,70948,8,trj_id29_ti8_7936_tf8_7948,1,1,1
Ant,70949,70949,8,trj_id31_ti8_7949_tf8_7949,1,0,1
Ant,70950,70950,8,trj_id31_ti8_7950_tf8_7950,1,1,1
Ant,70951,71550,8,trj_id31_ti8_7951_tf8_8550,1,0,1
Ant,71551,71747,8,trj_id29_ti8_8551_tf8_8747,1,0,1
Ant,71748,71752,8,trj_id37_ti8_8748_tf8_8752,1,1,1
Ant,71753,71773,8,trj_id29_ti8_8753_tf8_8773,1,0,1
Ant,71774,71792,8,trj_id29_ti8_8774_tf8_8792,1,1,1
Ant,71793,71815,8,trj_id29_ti8_8793_tf8_8815,1,0,1
Ant,71816,71830,8,trj_id37_ti8_8816_tf8_8830,1,1,1
Ant,71831,71843,8,trj_id23_ti8_8831_tf8_8843,1,0,1
Ant,71844,71895,8,trj_id20_ti8_8844_tf8_8895,1,1,1
Ant,71896,71910,8,trj_id20_ti8_8896_tf8_8910,1,0,1
Ant,71911,71989,8,trj_id33_ti8_8911_tf8_8989,1,1,1
Ant,71990,72000,8,trj_id9_ti8_8990_tf8_9000,1,0,1
Larva,63001,63014,8,trj_id36_ti8_1_tf8_14,1,1,1
Larva,63015,63040,8,trj_id16_ti8_15_tf8_40,1,0,0
Larva,63041,63383,8,trj_id16_ti8_41_tf8_383,1,1,1
Larva,63384,63504,8,trj_id13_ti8_384_tf8_504,1,0,0
Larva,63505,63669,8,trj_id28_ti8_505_tf8_669,1,1,1
Larva,63670,63776,8,trj_id13_ti8_670_tf8_776,1,0,0
Larva,63777,63803,8,trj_id13_ti8_777_tf8_803,1,1,1
Larva,63804,63959,8,trj_id13_ti8_804_tf8_959,1,0,0
Larva,63960,64000,8,trj_id24_ti8_960_tf8_1000,1,1,1
Larva,64001,64132,8,trj_id24_ti8_1001_tf8_1132,1,0,0
Larva,64133,64167,8,trj_id24_ti8_1133_tf8_1167,1,1,1
Larva,64168,64168,8,trj_id24_ti8_1168_tf8_1168,1,0,0
Larva,64169,64169,8,trj_id24_ti8_1169_tf8_1169,1,1,1
Larva,64170,64284,8,trj_id24_ti8_1170_tf8_1284,1,0,0
Larva,64285,64334,8,trj_id24_ti8_1285_tf8_1334,1,1,1
Larva,64335,64377,8,trj_id24_ti8_1335_tf8_1377,1,0,0
Larva,64378,64393,8,trj_id30_ti8_1378_tf8_1393,1,1,1
Larva,64394,64471,8,trj_id24_ti8_1394_tf8_1471,1,0,0
Larva,64472,64564,8,trj_id35_ti8_1472_tf8_1564,1,1,1
Larva,64565,64601,8,trj_id31_ti8_1565_tf8_1601,1,0,0
Larva,64602,64655,8,trj_id28_ti8_1602_tf8_1655,1,1,1
Larva,64656,64663,8,trj_id26_ti8_1656_tf8_1663,1,0,0
Larva,64664,64722,8,trj_id26_ti8_1664_tf8_1722,1,1,1
Larva,64723,64725,8,trj_id28_ti8_1723_tf8_1725,1,0,0
Larva,64726,64726,8,trj_id28_ti8_1726_tf8_1726,1,1,1
Larva,64727,64760,8,trj_id28_ti8_1727_tf8_1760,1,0,0
Larva,64761,64764,8,trj_id38_ti8_1761_tf8_1764,1,1,1
Larva,64765,64778,8,trj_id15_ti8_1765_tf8_1778,1,0,0
Larva,64779,64865,8,trj_id28_ti8_1779_tf8_1865,1,1,1
Larva,64866,64898,8,trj_id15_ti8_1866_tf8_1898,1,0,0
Larva,64899,65088,8,trj_id15_ti8_1899_tf8_2088,1,1,1
Larva,65089,65117,8,trj_id15_ti8_2089_tf8_2117,1,0,0
Larva,65118,65252,8,trj_id23_ti8_2118_tf8_2252,1,1,1
Larva,65253,65253,8,trj_id15_ti8_2253_tf8_2253,1,0,0
Larva,65254,65254,8,trj_id23_ti8_2254_tf8_2254,1,1,1
Larva,65255,65278,8,trj_id15_ti8_2255_tf8_2278,1,0,0
Larva,65279,65476,8,trj_id15_ti8_2279_tf8_2476,1,1,1
Larva,65477,65543,8,trj_id8_ti8_2477_tf8_2543,1,0,0
Larva,65544,65544,8,trj_id35_ti8_2544_tf8_2544,1,1,1
Larva,65545,65550,8,trj_id35_ti8_2545_tf8_2550,1,0,0
Larva,65551,65724,8,trj_id40_ti8_2551_tf8_2724,1,1,1
Larva,65725,66152,8,trj_id35_ti8_2725_tf8_3152,1,0,0
Larva,66153,66164,8,trj_id33_ti8_3153_tf8_3164,1,1,1
Larva,66165,66194,8,trj_id17_ti8_3165_tf8_3194,1,0,0
Larva,66195,66210,8,trj_id17_ti8_3195_tf8_3210,1,1,1
Larva,66211,66212,8,trj_id15_ti8_3211_tf8_3212,1,0,0
Larva,66213,66313,8,trj_id18_ti8_3213_tf8_3313,1,1,1
Larva,66314,66410,8,trj_id18_ti8_3314_tf8_3410,1,0,0
Larva,66411,66443,8,trj_id30_ti8_3411_tf8_3443,1,1,1
Larva,66444,66475,8,trj_id29_ti8_3444_tf8_3475,1,0,0
Larva,66476,66615,8,trj_id18_ti8_3476_tf8_3615,1,1,1
Larva,66616,67215,8,trj_id18_ti8_3616_tf8_4215,1,0,0
Larva,67216,67693,8,trj_id18_ti8_4216_tf8_4693,1,0,0
Larva,67694,67754,8,trj_id18_ti8_4694_tf8_4754,1,1,1
Larva,67755,67765,8,trj_id18_ti8_4755_tf8_4765,1,0,0
Larva,67766,67818,8,trj_id39_ti8_4766_tf8_4818,1,1,1
Larva,67819,67837,8,trj_id18_ti8_4819_tf8_4837,1,0,0
Larva,67838,68007,8,trj_id28_ti8_4838_tf8_5007,1,1,1
Larva,68008,68027,8,trj_id28_ti8_5008_tf8_5027,1,0,0
Larva,68028,68028,8,trj_id28_ti8_5028_tf8_5028,1,1,0
Larva,68029,68036,8,trj_id25_ti8_5029_tf8_5036,1,0,0
Larva,68037,68175,8,trj_id34_ti8_5037_tf8_5175,1,1,1
Larva,68176,68199,8,trj_id25_ti8_5176_tf8_5199,1,0,0
Larva,68200,68546,8,trj_id25_ti8_5200_tf8_5546,1,1,1
Larva,68547,68591,8,trj_id12_ti8_5547_tf8_5591,1,0,0
Larva,68592,68593,8,trj_id32_ti8_5592_tf8_5593,1,1,1
Larva,68594,68595,8,trj_id12_ti8_5594_tf8_5595,1,0,0
Larva,68596,68597,8,trj_id32_ti8_5596_tf8_5597,1,1,1
Larva,68598,68624,8,trj_id12_ti8_5598_tf8_5624,1,0,0
Larva,68625,68668,8,trj_id12_ti8_5625_tf8_5668,1,1,1
Larva,68669,68871,8,trj_id12_ti8_5669_tf8_5871,1,0,0
Larva,68872,68874,8,trj_id12_ti8_5872_tf8_5874,1,1,1
Larva,68875,68920,8,trj_id12_ti8_5875_tf8_5920,1,0,0
Larva,68921,68984,8,trj_id24_ti8_5921_tf8_5984,1,1,1
Larva,68985,69089,8,trj_id12_ti8_5985_tf8_6089,1,0,0
Larva,69090,69150,8,trj_id34_ti8_6090_tf8_6150,1,1,1
Larva,69151,69750,8,trj_id34_ti8_6151_tf8_6750,1,0,0
Larva,69751,69875,8,trj_id11_ti8_6751_tf8_6875,1,0,0
Larva,69876,69880,8,trj_id19_ti8_6876_tf8_6880,1,1,1
Larva,69881,69897,8,trj_id24_ti8_6881_tf8_6897,1,0,0
Larva,69898,69920,8,trj_id24_ti8_6898_tf8_6920,1,1,1
Larva,69921,69931,8,trj_id24_ti8_6921_tf8_6931,1,0,0
Larva,69932,70049,8,trj_id39_ti8_6932_tf8_7049,1,1,1
Larva,70050,70110,8,trj_id24_ti8_7050_tf8_7110,1,0,0
Larva,70111,70138,8,trj_id24_ti8_7111_tf8_7138,1,1,1
Larva,70139,70164,8,trj_id24_ti8_7139_tf8_7164,1,0,0
Larva,70165,70223,8,trj_id31_ti8_7165_tf8_7223,1,1,1
Larva,70224,70255,8,trj_id24_ti8_7224_tf8_7255,1,0,0
Larva,70256,70348,8,trj_id24_ti8_7256_tf8_7348,1,1,1
Larva,70349,70349,8,trj_id24_ti8_7349_tf8_7349,1,0,0
Larva,70350,70351,8,trj_id24_ti8_7350_tf8_7351,1,1,1
Larva,70352,70383,8,trj_id24_ti8_7352_tf8_7383,1,0,0
Larva,70384,70458,8,trj_id24_ti8_7384_tf8_7458,1,1,1
Larva,70459,70517,8,trj_id24_ti8_7459_tf8_7517,1,0,0
Larva,70518,70625,8,trj_id36_ti8_7518_tf8_7625,1,1,1
Larva,70626,70676,8,trj_id24_ti8_7626_tf8_7676,1,0,0
Larva,70677,70742,8,trj_id24_ti8_7677_tf8_7742,1,1,1
Larva,70743,70743,8,trj_id24_ti8_7743_tf8_7743,1,0,0
Larva,70744,70744,8,trj_id30_ti8_7744_tf8_7744,1,1,1
Larva,70745,70747,8,trj_id30_ti8_7745_tf8_7747,1,0,0
Larva,70748,70761,8,trj_id17_ti8_7748_tf8_7761,1,1,1
Larva,70762,70762,8,trj_id20_ti8_7762_tf8_7762,1,0,0
Larva,70763,70764,8,trj_id20_ti8_7763_tf8_7764,1,1,1
Larva,70765,70888,8,trj_id20_ti8_7765_tf8_7888,1,0,0
Larva,70889,70934,8,trj_id36_ti8_7889_tf8_7934,1,1,1
Larva,70935,70935,8,trj_id10_ti8_7935_tf8_7935,1,0,0
Larva,70936,70948,8,trj_id31_ti8_7936_tf8_7948,1,1,1
Larva,70949,70949,8,trj_id31_ti8_7949_tf8_7949,1,0,0
Larva,70950,70950,8,trj_id32_ti8_7950_tf8_7950,1,1,1
Larva,70951,71550,8,trj_id31_ti8_7951_tf8_8550,1,0,0
Larva,71551,71747,8,trj_id29_ti8_8551_tf8_8747,1,0,0
Larva,71748,71752,8,trj_id29_ti8_8748_tf8_8752,1,1,1
Larva,71753,71773,8,trj_id29_ti8_8753_tf8_8773,1,0,0
Larva,71774,71792,8,trj_id36_ti8_8774_tf8_8792,1,1,1
Larva,71793,71815,8,trj_id29_ti8_8793_tf8_8815,1,0,0
Larva,71816,71830,8,trj_id36_ti8_8816_tf8_8830,1,1,1
Larva,71831,71843,8,trj_id23_ti8_8831_tf8_8843,1,0,0
Larva,71844,71895,8,trj_id23_ti8_8844_tf8_8895,1,1,1
Larva,71896,71910,8,trj_id20_ti8_8896_tf8_8910,1,0,0
Larva,71911,71989,8,trj_id32_ti8_8911_tf8_8989,1,1,1
Larva,71990,72000,8,trj_id9_ti8_8990_tf8_9000,1,0,0
